,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,['show tunes'],,,,,,,,,,,,,,,,,,,,
1,[],,,,,,,,,,,,,,,,,,,,
2,[],,,,,,,,,,,,,,,,,,,,
3,[],,,,,,,,,,,,,,,,,,,,
4,[],,,,,,,,,,,,,,,,,,,,
5,[],,,,,,,,,,,,,,,,,,,,
6,[],,,,,,,,,,,,,,,,,,,,
7,[],,,,,,,,,,,,,,,,,,,,
8,['comedy rock', 'comic', 'parody'],,,,,,,,,,,,,,,,,,
9,[],,,,,,,,,,,,,,,,,,,,
10,['florida rap', 'underground hip hop', 'vapor trap'],,,,,,,,,,,,,,,,,,
11,['dark trap', 'meme rap'],,,,,,,,,,,,,,,,,,,
12,[],,,,,,,,,,,,,,,,,,,,
13,['dark trap', 'new orleans rap', 'underground hip hop'],,,,,,,,,,,,,,,,,,
14,['broadway', 'show tunes'],,,,,,,,,,,,,,,,,,,
15,['broadway', 'hollywood', 'show tunes'],,,,,,,,,,,,,,,,,,
16,['boston rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop'],,,,,,,,,,,,,,,
17,['experimental hip hop', 'indie soul'],,,,,,,,,,,,,,,,,,,
18,[],,,,,,,,,,,,,,,,,,,,
19,['detroit hip hop', 'hip hop', 'rap'],,,,,,,,,,,,,,,,,,
20,['k-pop', 'k-pop girl group'],,,,,,,,,,,,,,,,,,,
21,['alternative metal', 'industrial metal', 'nu metal', 'rap metal', 'rap rock'],,,,,,,,,,,,,,,,
22,['boy band', 'dance pop', 'europop', 'pop'],,,,,,,,,,,,,,,,,
23,['indy indie'],,,,,,,,,,,,,,,,,,,,
24,[],,,,,,,,,,,,,,,,,,,,
25,[],,,,,,,,,,,,,,,,,,,,
26,['alternative rock', 'dance-punk', 'double drumming', 'indie rock', 'modern rock', 'post-hardcore'],,,,,,,,,,,,,,,
27,['cyberpunk', 'synthwave'],,,,,,,,,,,,,,,,,,,
28,[],,,,,,,,,,,,,,,,,,,,
29,['k-indie', 'korean electropop', 'korean pop'],,,,,,,,,,,,,,,,,,
30,['cali rap', 'melodic rap', 'trap', 'underground hip hop', 'vapor trap'],,,,,,,,,,,,,,,,
31,['alternative r&b', 'new jersey rap'],,,,,,,,,,,,,,,,,,,
32,['dub', 'east coast reggae', 'reggae', 'reggae rock', 'roots reggae'],,,,,,,,,,,,,,,,
33,['alternative metal', 'christian rock', 'nu metal', 'post-grunge', 'rap rock'],,,,,,,,,,,,,,,,
34,['folk', 'lilith', 'mellow gold', 'new wave pop', 'pop rock'],,,,,,,,,,,,,,,,
35,[],,,,,,,,,,,,,,,,,,,,
36,['glitchcore', 'hyperpop'],,,,,,,,,,,,,,,,,,,
37,['adult standards', 'easy listening', 'lounge'],,,,,,,,,,,,,,,,,,
38,[],,,,,,,,,,,,,,,,,,,,
39,['album rock', 'art rock', 'classic rock', 'classic uk pop', 'dance rock', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock', 'yacht rock'],,,,,,,,,
40,['g funk', 'hyphy'],,,,,,,,,,,,,,,,,,,
41,['atl hip hop', 'boy band', 'dance pop', 'gangster rap', 'hip pop', 'new jack swing', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary'],,,,,,,,,,
42,[],,,,,,,,,,,,,,,,,,,,
43,['horror punk', 'psychobilly'],,,,,,,,,,,,,,,,,,,
44,['alternative metal', 'christian alternative rock', 'christian hard rock', 'christian rock', 'nu metal', 'post-grunge', 'rap rock'],,,,,,,,,,,,,,
45,['acid rock', 'classic garage rock', 'experimental', 'folk rock', 'freakbeat', 'protopunk', 'psychedelic rock'],,,,,,,,,,,,,,
46,[],,,,,,,,,,,,,,,,,,,,
47,['progressive house', 'progressive trance house', 'tech house'],,,,,,,,,,,,,,,,,,
48,[],,,,,,,,,,,,,,,,,,,,
49,[],,,,,,,,,,,,,,,,,,,,
50,['progressive trance house'],,,,,,,,,,,,,,,,,,,,
51,['brill building pop', 'bubblegum pop', 'classic garage rock', 'classic uk pop', 'folk rock', 'merseybeat'],,,,,,,,,,,,,,,
52,[],,,,,,,,,,,,,,,,,,,,
53,[],,,,,,,,,,,,,,,,,,,,
54,['la indie'],,,,,,,,,,,,,,,,,,,,
55,['classic city pop'],,,,,,,,,,,,,,,,,,,,
56,[],,,,,,,,,,,,,,,,,,,,
57,['bubblegum dance', 'eurodance', 'europop', 'happy hardcore', 'hip house'],,,,,,,,,,,,,,,,
